Data Source,World Development Indicators,
,,
Last Updated Date,2/12/2024,
,,
Country Name,Country Code,2018
Aruba,ABW,30918.48358
Africa Eastern and Southern,AFE,1558.307482
Afghanistan,AFG,492.0906323
Africa Western and Central,AFW,1735.374911
Angola,AGO,2540.508878
Albania,ALB,5287.660801
Andorra,AND,42904.81159
Arab World,ARB,6579.417104
United Arab Emirates,ARE,46722.26872
Argentina,ARG,11795.16275
Armenia,ARM,4391.92327
American Samoa,ASM,13195.9359
Antigua and Barbuda,ATG,18133.8226
Australia,AUS,57273.52048
Austria,AUT,51466.55656
Azerbaijan,AZE,4739.794312
Burundi,BDI,232.0606166
Belgium,BEL,47544.98115
Benin,BEN,1194.438214
Burkina Faso,BFA,779.2027686
Bangladesh,BGD,1963.412492
Bulgaria,BGR,9447.655897
Bahrain,BHR,25415.84662
"Bahamas, The",BHS,31483.97884
Bosnia and Herzegovina,BIH,6024.49315
Belarus,BLR,6360.053101
Belize,BLZ,6001.024262
Bermuda,BMU,113050.7369
Bolivia,BOL,3471.006951
Brazil,BRA,9121.020995
Barbados,BRB,18271.25225
Brunei Darussalam,BRN,31240.50179
Bhutan,BTN,3389.777303
Botswana,BWA,6947.817841
Central African Republic,CAF,435.9322966
Canada,CAN,46548.63841
Central Europe and the Baltics,CEB,16078.20726
Switzerland,CHE,85217.36915
Channel Islands,CHI,62316.21995
Chile,CHL,15820.03336
China,CHN,9905.406383
Cote d'Ivoire,CIV,2295.540335
Cameroon,CMR,1594.06011
"Congo, Dem. Rep.",COD,546.2125932
"Congo, Rep.",COG,2715.243105
Colombia,COL,6782.03792
Comoros,COM,1531.337811
Cabo Verde,CPV,3860.454808
Costa Rica,CRI,12383.14995
Caribbean small states,CSS,10378.90576
Cuba,CUB,8831.910409
Curacao,CUW,19119.12449
Cayman Islands,CYM,85231.77425
Cyprus,CYP,29335.04688
Czechia,CZE,23424.48046
Germany,DEU,47939.27829
Djibouti,DJI,2755.838293
Dominica,DMA,7833.195013
Denmark,DNK,61591.92887
Dominican Republic,DOM,7947.159331
Algeria,DZA,4171.790388
East Asia & Pacific (excluding high income),EAP,7944.814368
Early-demographic dividend,EAR,3493.678564
East Asia & Pacific,EAS,11312.90436
Europe & Central Asia (excluding high income),ECA,8025.155608
Europe & Central Asia,ECS,25276.81944
Ecuador,ECU,6321.349401
"Egypt, Arab Rep.",EGY,2531.200079
Euro area,EMU,40048.45819
Eritrea,ERI,
Spain,ESP,30379.72111
Estonia,EST,23165.84948
Ethiopia,ETH,758.2976945
European Union,EUU,35751.57258
Fragile and conflict affected situations,FCS,1852.318463
Finland,FIN,49987.62616
Fiji,FJI,6073.394579
France,FRA,41557.85486
Faroe Islands,FRO,62576.80164
"Micronesia, Fed. Sts.",FSM,3623.329337
Gabon,GAB,7694.906051
United Kingdom,GBR,43203.81411
Georgia,GEO,4722.042423
Ghana,GHA,2180.029684
Gibraltar,GIB,
Guinea,GIN,944.4172687
"Gambia, The",GMB,683.3246328
Guinea-Bissau,GNB,781.6443676
Equatorial Guinea,GNQ,8719.18687
Greece,GRC,19756.99046
Grenada,GRD,9574.310271
Greenland,GRL,54545.13586
Guatemala,GTM,4485.752135
Guam,GUM,35902.7259
Guyana,GUY,6094.909837
High income,HIC,44528.16874
"Hong Kong SAR, China",HKG,48537.56689
Honduras,HND,2457.686042
Heavily indebted poor countries (HIPC),HPC,977.2375305
Croatia,HRV,15040.03692
Haiti,HTI,1489.578406
Hungary,HUN,16425.20503
IBRD only,IBD,6373.970462
IDA & IBRD total,IBT,5084.854052
IDA total,IDA,1412.711942
IDA blend,IDB,1877.776724
Indonesia,IDN,3902.661676
IDA only,IDX,1181.353141
Isle of Man,IMN,89425.89139
India,IND,1974.377731
Not classified,INX,
Ireland,IRL,79446.93911
"Iran, Islamic Rep.",IRN,3850.751253
Iraq,IRQ,5601.467061
Iceland,ISL,74452.18907
Israel,ISR,42406.84543
Italy,ITA,34622.16967
Jamaica,JAM,5594.493573
Jordan,JOR,4146.407311
Japan,JPN,39751.1331
Kazakhstan,KAZ,9812.625431
Kenya,KEN,1845.783414
Kyrgyz Republic,KGZ,1308.139785
Cambodia,KHM,1533.315985
Kiribati,KIR,1607.229825
St. Kitts and Nevis,KNA,22533.88205
"Korea, Rep.",KOR,33447.15628
Kuwait,KWT,32012.18752
Latin America & Caribbean (excluding high income),LAC,8446.592322
Lao PDR,LAO,2553.361866
Lebanon,LBN,9225.845155
Liberia,LBR,700.0370394
Libya,LBY,11838.29871
St. Lucia,LCA,11563.83043
Latin America & Caribbean,LCN,8977.992553
Least developed countries: UN classification,LDC,1067.836395
Low income,LIC,662.8558069
Liechtenstein,LIE,175286.679
Sri Lanka,LKA,4360.584735
Lower middle income,LMC,2179.954062
Low & middle income,LMY,4908.171921
Lesotho,LSO,1162.978854
Late-demographic dividend,LTE,9840.394631
