sede_id,sede_desc_castellano,pais_castellano,region_geografica,pais_iso_3,redes_sociales,Estado
ECOLO,Embajada  en  Colombia,REPÚBLICA  DE  COLOMBIA,AMÉRICA  DEL  SUR,COL, www.facebook.com/ArgColombia/?ref=bookmarks //,Activo
EJAPO,Embajada  en  Japón,日本国  (JAPÓN),ASIA,JPN, www.facebook.com/ArgJapon/?ref=bookmarks  //  ,Activo
CFLOR,Consulado  en  Florianopolis,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA, www.facebook.com/cflor.mrecic.gov.ar  //  ,Activo
CSCRS,Consulado  General  y  Centro  de  Promoción  en  Santa  Cruz,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL, www.facebook.com/ArgEnSantaCruz  de  la  Sierra  //  ,Activo
CBARC,Consulado  General  y  Centro  de  Promoción  en  Barcelona,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,www.facebook.com/ArgEnBarcelona  //  twitter.com/ARGenBarcelona  //  instagram.com/argenbarcelona   //  linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/  //  ,Activo
ESAFR,Embajada  en  Sudáfrica,REPÚBLICA  DE  SUDÁFRICA,ÁFRICA  SUBSAHARIANA,ZAF,www.facebook.com/ArgenSudafrica  //  www.twitter.com/EmbArgentina  //  www.instagram.com/argentinaensudafrica  //  ,Activo
ESERB,Embajada  en  Serbia,REPÚBLICA  DE  SERBIA,EUROPA  CENTRAL  Y  ORIENTAL,SRB,www.Facebook.com/ArgentinaEnSerbia  //  Instagram.com/ARGinSerbia  //  ,Activo
CVIGO,Consulado  General  en  Vigo,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,www.facebook.com/ArgentinaenVigo  //  www.instagram.com/argenvigo/  //  ,Activo
EDOMI,Embajada  en  República  Dominicana,REPÚBLICA  DOMINICANA,AMÉRICA  CENTRAL  Y  CARIBE,DOM,www.facebook.com/ArgentinaEnRepublicaDominicana/  //  ,Activo
CMIAM,Consulado  General  y  Centro  de  Promoción  en  Miami,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,www.facebook.com/consuladoargentino.miami/ // ,Activo
