sede_id,sede_desc_castellano
CBARC,"Sección  Cultura, Educación  y  Redes  Sociales"
CBARC,"Sección  Comercial, Turismo  e  Inversiones"
CBARC,Sección  Consular  (Opción  de  Nacionalidad/Notariales/Itinerancias)
CBARC,Sección  Consular  (Asistencia  al  ciudadano/Visas)
CBARC,Sección  Administrativa
CBARC,Sección  Consular  (Documentación/Asuntos  previsionales)
CCHIC,Sección  Consular
CCHIC,Sección  Económica  y  Comercial
CFRAN,Sección  Administrativa
CFRAN,Sección  Consular
CFRAN,Sección  Cultural
CFRAN,Sección  Económica  y  Comercial
CGMUM,Sección  Consular
CGMUM,Sección  Económica  y  Comercial
CGMUM,Sección  de  Administración
CGTEL,Sección  Administrativa
CGTEL,Sección  Consular
CGUAY,CONSULAR
CGUAY,AGREGADO  CONSULAR
CHONG,Sección  Económica-Comercial
CHONG,Asuntos  Consulares
CMIAM,Sección  Consular  (Notariales)
CMIAM,Cónsul  General  Adjunto
CMIAM,Sección  Administración
CMIAM,Sección  Consular  (Visas  y  Asistencia  a  Argentinos)
CMIAM,Sección  Consular  (Documentación)
CMIAM,Sección  Consular  (Trámites  generales)
CMIAM,Sección  Cultural
CMIAM,Sección  Comercial  e  Inversiones
CMILA,Sección  Consular:  Cónsul  Adjunto  Lara  Fazzolari
CMILA,Sección  Administrativa  -  Titular:  
CMILA,Sección  Consular  -  Cónsul  Adjunto  Agustín  Busignani  
CNYOR,Sección  Económica  y  Comercial
CNYOR,Turismo
CNYOR,Administración
CNYOR,Asistencia  a  Argentinos  en  el  Exterior
CNYOR,Visas
CNYOR,Sección  Notarial
CNYOR,Promoción  Cultural
CNYOR,Comunidad  argentina  y  diplomacia  pública
CNYOR,Sección  Consular
CPABL,Sección  Consular
CPCAR,Cónsul  Adjunto
CRECI,Sección  Económica  y  Comercial
CRECI,Sección  Administrativa  y  Contable
CRECI,Sección  Prensa
CRECI,Sección  Consular
CRECI,Sección  Cultural  
CRIOJ,Sección  Cultural
CRIOJ,Sección  Consular
CRIOJ,Sección  Económica  y  Comercial
CRIOJ,Sección  Turismo
CSCRS,Seccion  Cultural
CSCRS,Sección  Consular
CSCRS,Sección  Administrativa
CSCRS,Sección  Económica  y  Comercial
CSHAN,Sección  Cultural  
CSHAN,Sección  Prensa
CSHAN,Sección  Deportiva
CSHAN,Sección  Económica  y  Comercial
CSHAN,Sección  Consular
CSHAN,Sección  Turismo
CSHAN,Sección  Educativa
CSIDN,Sección  Comercial  y  Cultural
CSIDN,Sección  Consular
CSIDN,Sección  Administrativa
CTORO,SECCION  CONSULAR
CTORO,SECCION  CULTURAL
CTORO,SECCION  ECONOMICA  Y  COMERCIAL
CURUG,Sección  Comercial
CVIGO,Sección  Consular
CVIGO,Sección  Económica  y  Comercial
CVIGO,Sección  Cultural
DITIC,Sección  prueba
DITIC,nueva
EALEM,Sección  Consular
EALEM,Jefa  de  Cancillería
EALEM,Sección  Económica  y  Comercial
EALEM,Sección  Turismo
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EALEM,Sección  de  Prensa
EALEM,Sección  Política
EALEM,Sección  Cooperación  Internacional
EALEM,Sección  Cultural
EALEM,Sección  Administración
EANGO,Sección  Consular
EANGO,Sección  Política
EANGO,Sección  Administrativa
EANGO,Sección  Económica  y  Comercial
EANGO,Sección  Cooperación
EANGO,Sección  Cultural  y  Prensa
EARGE,Sección  Política
EARGE,Sección  Prensa
EARGE,Sección  Consular
EARGE,Sección  Cultural
EARGE,Sección  Económica  y  Comercial
EARGE,Sección  Administrativa
EARME,Sección  Consular
EARME,Sección  Económica  y  Comercial
EARME,Sección  Administrativa
EASIR,Sección  Consular
EAUST,Sección  Comercio  e  Inversiones
EAUST,Sección  Ciencia  y  Tecnología
EAUST,Seccion  Cultural
EAUST,Sección  Política
EAUST,Sección  Administrativa
EAZER,Sección  Consular
EAZER,Sección  Política
EAZER,Sección  Cultural
EAZER,Sección  de  Administración
EAZER,Sección  Económica  y  Comercial
EBARB,Jefe  de  Cancillería
EBARB,Sección  Consular
EBARB,Sección  Cooperación  Internacional
EBARB,Sección  Cultural  y  Prensa
EBARB,Sección  Económica  y  Comercial
EBARB,Sección  Política
EBARB,Sección  Administrativa
EBELG,Sección  Cultural
EBELG,Sección  Política
EBELG,Jefe  de  Cancillería
EBELG,Sección  Consular
EBELG,Sección  Económica  y  Comercial
EBOLV,"Sección  Económica, Comercial, de  Inversiones  y  Turismo."
EBOLV,Agregaduría  de  Prefectura  Naval
EBOLV,"Sección  Económica, Comercial, de  Inversiones  y  Turismo."
EBOLV,"Mujeres, Género, Diversidad  y  Medio  Ambiente"
EBOLV,Agregaduría  de  Defensa  y  Militar
EBOLV,Misión  Naval  Argentina
EBOLV,"Sección  Política, Fronteras, Defensa  y  Seguridad"
EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA)
EBOLV,"Sección  Cultural, Prensa, Educación, Derechos  Humanos  y  de  Cooperación  Técnica"
EBOLV,Embajador  Extraordinario  y  Plenipotenciario  de  la  República  Argentina  
EBOLV,Contabilidad  y  Administración.
EBOLV,Agregaduría  Aeronáutica
EBRAS,Consejería  Agrícola
EBRAS,Agregado  Naval
EBRAS,Agregado  Militar  y  de  Defensa
EBRAS,Sección  Cultural
EBRAS,Sección  Consular
EBRAS,Jefe  de  Cancillería
EBRAS,"Sección  Económico-Comercial, Inversiones  y  Turismo"
ECANA,Sección  Cultural
