Paises,sede,Red_Social,URL
Angola,EANGO,Facebook,www.Facebook.com/ArgentinaEnAngola/ 
Angola,EANGO,Instagram, www.Instagram.com/embargentinaenangola/ 
United Arab Emirates,EEARB,Facebook,www.Facebook.com/ArgentinaEnEmiratosArabesUnidos 
Armenia,EARME,Facebook, www.Facebook.com/ArgentinaEnArmenia 
Armenia,EARME,Instagram,www.Instagram.com/arginarmenia/ 
Armenia,EARME,Twitter, www.Twitter.com/ARGinArmenia 
Australia,CSIDN,Facebook,www.Facebook.com/ArgentinaEnSidney/ 
Australia,EAUST,Facebook,www.Facebook.com/ArgentinaEnAustralia/ 
Australia,EAUST,Twitter, www.Twitter.com/ARGinAustralia 
Austria,ETRIA,Facebook,www.Facebook.com/ArgentinaEnAustria/ 
Austria,ETRIA,Instagram, www.Instagram.com/argenviena/ 
Austria,ETRIA,Twitter, www.Twitter.com/ARGenViena 
Azerbaijan,EAZER,Facebook,www.Facebook.com/EmbassyOfArgentina/ 
Azerbaijan,EAZER,Instagram, www.Instagram.com/embargentinaaz 
Azerbaijan,EAZER,Twitter, www.Twitter.com/ARGEnAzer 
Belgium,EBELG,Facebook,www.Facebook.com/ArgentinaEnBelgica/ 
Belgium,EBELG,Instagram, www.Instagram.com/argenbelgica/ 
Belgium,ECEUR,Facebook,www.Facebook.com/ARGanteUE 
Belgium,ECEUR,Flickr, www.Flickr.com/people/197084220@N02/ 
Belgium,ECEUR,Linkedin, www.Linkedin.com/company/arganteue 
Belgium,ECEUR,Twitter, www.Twitter.com/ARGanteUE 
Belgium,ECEUR,Youtube, www.Youtube.com/@ARGanteUE 
Bulgaria,EBULG,Facebook,www.Facebook.com/ArgentinaEnBulgaria/ 
Bulgaria,EBULG,Youtube, www.Youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow 
Bolivia,CCOCH,Facebook,www.Facebook.com/ArgentinaEnCochabamba 
Bolivia,CSCRS,Facebook,www.Facebook.com/ArgEnSantaCruz  de  la  Sierra 
Bolivia,CVILL,Facebook,www.Facebook.com/ArgEnVillazon 
Brazil,CALEG,Facebook, www.Facebook.com/ArgentinaEnPortoAlegre/ 
Brazil,CALEG,Instagram, www.Instagram.com/argenportoalegre/ 
Brazil,CALEG,Twitter,www.Twitter.com/ArgPortoAlegre 
Brazil,CBELO,Facebook,www.Facebook.com/ArgentinaEnBeloHorizonte/ 
Brazil,CBELO,Instagram, www.Instagram.com/consgralbelo/ 
Brazil,CBELO,Twitter, www.Twitter.com/consgralbelo 
Brazil,CCURI,Facebook,www.Facebook.com/ArgEnCuritiba/ 
Brazil,CCURI,Instagram, www.Instagram.com/argEncuritiba 
Brazil,CCURI,Twitter, www.Twitter.com/ARGenCuri 
Brazil,CFDIG,Facebook, www.Facebook.com/ArgentinaEnFozDeIguazu 
Brazil,CFDIG,Instagram, www.Instagram.com/argentinaenfoz/ 
Brazil,CFDIG,Twitter,www.Twitter.com/argentinaenfoz 
Brazil,CFLOR,Facebook, www.Facebook.com/cflor.mrecic.gov.ar 
Brazil,CRECI,Facebook,www.Facebook.com/ArgentinaEnBrasilRecife 
Brazil,CRECI,Instagram, www.Instagram.com/consuladoargentinorecife 
Brazil,CRIOJ,Facebook,www.Facebook.com/ArgentinaEnRiodeJaneiro/ 
Brazil,CSBAH,Facebook, www.Facebook.com/ArgentinaenSalvador 
Brazil,CSBAH,Instagram,www.Instagram.com/argentinaensalvador 
Brazil,CSBAH,Twitter, www.Twitter.com/ArgentinaEnSSA 
Brazil,CURUG,Facebook,www.Facebook.com/ArgEnUruguayana/ 
Brazil,CURUG,Twitter, www.Twitter.com/CURUGoK 
Brazil,EBRAS,Facebook, www.Facebook.com/embargbrasil 
Brazil,EBRAS,Instagram,www.Instagram.com/embaargenbrasil 
Brazil,EBRAS,Twitter, www.Twitter.com/ArgentinaEnBras 
Barbados,EBARB,Facebook,www.Facebook.com/ArgentinaEnBarbados/ 
Canada,CTORO,Facebook,www.Facebook.com/ArgentinaEnToronto/ 
Canada,CTORO,Instagram, www.Instagram.com/consuladoargtoronto/ 
