iso3,region
DOM,AMÉRICA  CENTRAL  Y  CARIBE
SWE,EUROPA  OCCIDENTAL
MEX,AMÉRICA  DEL  NORTE
NLD,EUROPA  OCCIDENTAL
CUB,AMÉRICA  CENTRAL  Y  CARIBE
JAM,AMÉRICA  CENTRAL  Y  CARIBE
HND,AMÉRICA  CENTRAL  Y  CARIBE
QAT,ASIA
BGD,ASIA
LBY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
PRT,EUROPA  OCCIDENTAL
BRA,AMÉRICA  DEL  SUR
ZAF,ÁFRICA  SUBSAHARIANA
PRY,AMÉRICA  DEL  SUR
AGO,ÁFRICA  SUBSAHARIANA
AUT,EUROPA  OCCIDENTAL
ECU,AMÉRICA  DEL  SUR
CHE,EUROPA  OCCIDENTAL
HUN,EUROPA  CENTRAL  Y  ORIENTAL
LBN,ASIA
UKR,EUROPA  CENTRAL  Y  ORIENTAL
EGY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
KEN,ÁFRICA  SUBSAHARIANA
KWT,ASIA
HTI,AMÉRICA  CENTRAL  Y  CARIBE
SLV,AMÉRICA  CENTRAL  Y  CARIBE
VAT,EUROPA  OCCIDENTAL
PER,AMÉRICA  DEL  SUR
PSE,ASIA
AUS,OCEANÍA
KOR,ASIA
ROU,EUROPA  CENTRAL  Y  ORIENTAL
NIC,AMÉRICA  CENTRAL  Y  CARIBE
USA,AMÉRICA  DEL  NORTE
CHL,AMÉRICA  DEL  SUR
DNK,EUROPA  OCCIDENTAL
ARM,ASIA
PAN,AMÉRICA  CENTRAL  Y  CARIBE
GTM,AMÉRICA  CENTRAL  Y  CARIBE
NZL,OCEANÍA
COL,AMÉRICA  DEL  SUR
JPN,ASIA
BOL,AMÉRICA  DEL  SUR
SRB,EUROPA  CENTRAL  Y  ORIENTAL
IND,ASIA
ETH,ÁFRICA  SUBSAHARIANA
CAN,AMÉRICA  DEL  NORTE
FIN,EUROPA  OCCIDENTAL
TUR,EUROPA  OCCIDENTAL
SUR,AMÉRICA  DEL  SUR
ITA,EUROPA  OCCIDENTAL
DZA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
FRA,EUROPA  OCCIDENTAL
DEU,EUROPA  OCCIDENTAL
ISR,ASIA
SAU,ASIA
ARE,ASIA
MYS,ASIA
AZE,ASIA
MAR,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ESP,EUROPA  OCCIDENTAL
GRB,EUROPA  OCCIDENTAL
CRI,AMÉRICA  CENTRAL  Y  CARIBE
PHL,ASIA
IRL,EUROPA  OCCIDENTAL
MOZ,ÁFRICA  SUBSAHARIANA
NGA,ÁFRICA  SUBSAHARIANA
NOR,EUROPA  OCCIDENTAL
CZE,EUROPA  CENTRAL  Y  ORIENTAL
TUN,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
SYR,ASIA
SEN,ÁFRICA  SUBSAHARIANA
IDN,ASIA
ARG,AMÉRICA  DEL  SUR
IRN,ASIA
URY,AMÉRICA  DEL  SUR
VEN,AMÉRICA  DEL  SUR
SGP,ASIA
PAK,ASIA
BEL,EUROPA  OCCIDENTAL
THA,ASIA
BRB,AMÉRICA  CENTRAL  Y  CARIBE
BGR,EUROPA  CENTRAL  Y  ORIENTAL
GRC,EUROPA  OCCIDENTAL
VNM,ASIA
RUS,EUROPA  CENTRAL  Y  ORIENTAL
POL,EUROPA  CENTRAL  Y  ORIENTAL
TTO,AMÉRICA  CENTRAL  Y  CARIBE
CHN,ASIA
GUY,AMÉRICA  CENTRAL  Y  CARIBE
