codigo,seccion
CBARC,"Sección  Cultura, Educación  y  Redes  Sociales"
CBARC,Sección  Consular  (Documentación/Asuntos  previsionales)
CFRAN,Sección  Cultural
CRIOJ,Sección  Económica  y  Comercial
CSCRS,Sección  Consular
EALEM,Sección  Económica  y  Comercial
EALEM,Sección  Cooperación  Internacional
EANGO,Sección  Política
EANGO,Sección  Cooperación
EBARB,Jefe  de  Cancillería
EBARB,Sección  Política
EBELG,Sección  Cultural
EBELG,Sección  Política
EBELG,Jefe  de  Cancillería
ECEUR,Sección  Prensa  y  Diplomacia  Pública
ECHES,Sección  Cultural
ECHIN,Sección  Inversiones
ECOLO,Jefe  de  Cancillería
ECORE,Sección  de  Administración  
ECORE,Sección  Política
ECUBA,Sección  Consular
EDOMI,Sección  Consular
EDOMI,Sección  Administración
EEARB,Sección  Consular
EECUA,Sección  Económica  y  Comercial
EEEUU,Agregaduria  Aeronautica
EEEUU,Sección  Económica  y  Comercial
EEEUU,Sección  Cultural  y  de  Diplomacia  Pública
EEGIP,Sección  Consular
EESPA,"Sección  Cultura, Educación  y  Protocolo"
EFRUS,Sección  Económica  y  Comercial
EFRUS,Agregaduría  Agrícola
EFRUS,"Sección  de  Cultura, Turismo  y  Cooperación  Deportiva"
EHILE,Agregaduría  de  Gendarmería  Nacional
EHILE,Sección  Económica  y  Comercial
EHILE,Sección  Jurídica
EISIA,Agregado  Administrativo
EJAMA,Sección  Consular  
EJAPO,Política
EKENY,Consular  
EKUWA,Sección  Económica  y  Comercial
ELBIA,Sección  Económica  Comercial
EMEXI,Sección  Comercial
EMEXI,Jefe  de  Misión
EMEXI,Sección  Cultural
EMEXI,Sección  Política
EMOZA,Sección  de  Cooperación  Internacional  y  Ayuda  Humanitaria
EPAKI,Sección  Consular
EPOLO,Sección  Consular  de  la  Embajada  de  la  República  Argentina  en  la  República  de  Polonia
ERUMA,Sección  Consular
ERUNI,Económica  y  Comercial
ERUNI,Protocolo
ERUNI,Sección  Política  y  Coordinación
ESAFR,"Sección  Cultural, Prensa  y  Diplomacia  Pública"
ESERB,Sección  Administrativa
ESING,"Sección  Económica, Comercial  y  de  Inversiones"
ESING,Sección  Consular
ESSED,"Sección  Administración, Economato, Contabilidad  e  Inventario"
ESUEC,Sección  Cultural  y  de  Prensa
ESURI,Sección  Cultural
ESURI,Sección  Política
ETRIA,Sección  Bilateral
ETUNE,Jefe  de  Cancillería
ETUNE,Sección  Política
EUCRA,Sección  Política
EUCRA,Sección  Cultural
EVENE,Sección  Administrativa
CCHIC,Sección  Económica  y  Comercial
CFRAN,Sección  Administrativa
CGMUM,Sección  de  Administración
CGUAY,CONSULAR
CGUAY,AGREGADO  CONSULAR
CMIAM,Sección  Cultural
CRECI,Sección  Económica  y  Comercial
CSHAN,Sección  Educativa
DITIC,Sección  prueba
DITIC,nueva
EANGO,Sección  Administrativa
EANGO,Sección  Cultural  y  Prensa
EARGE,Sección  Consular
EARME,Sección  Administrativa
EAZER,Sección  Política
EAZER,Sección  Cultural
EAZER,Sección  de  Administración
EBARB,Sección  Cultural  y  Prensa
EBARB,Sección  Administrativa
EBOLV,Agregaduría  Aeronáutica
EBRAS,Agregado  Militar  y  de  Defensa
ECHES,Administración
ECHIN,Sección  Consular  (Ir  a  Consulados)
ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ECOLO,Sección  Administrativa
EESPA,Representante  Ministerio  de  Desarrollo  Productivo
EETIO,Sección  Consular
EFRUS,Sección  Concurrencias
EFRUS,Sección  Administrativa  y  Logística
EINDI,Sección  Económica  y  Comercial
EIRAN,Sección  Consular
EIRLA,Sección  Cultural
EIRLA,Sección  Política
