sede_id,sede_desc_castellano,pais_iso_3,pais_castellano,estado
CALEG,Consulado  General  en  Porto  Alegre,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Activo
CANTO,Consulado  en  Antofagasta,CHL,REPÚBLICA  DE  CHILE,Activo
CAREN,Consulado  General  en  Punta  Arenas,CHL,REPÚBLICA  DE  CHILE,Activo
CASUN,Consulado  General  en  Asunción,PRY,REPÚBLICA  DEL  PARAGUAY,Activo
CATLA,Consulado  General  en  Atlanta,USA,Estados  Unidos  de  América,Activo
CBARC,Consulado  General  y  Centro  de  Promoción  en  Barcelona,ESP,REINO  DE  ESPAÑA,Activo
CBEIJ,Sección  Consular  en  Beijing,CHN,REPÚBLICA  POPULAR  DE  CHINA,Activo
CBELO,Consulado  en  Belo  Horizonte,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Activo
CBONN,Consulado  en  Bonn,DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,Activo
CCADI,Consulado  en  Cádiz,ESP,REINO  DE  ESPAÑA,Activo
CCEST,Consulado  General  en  Ciudad  del  Este,PRY,REPÚBLICA  DEL  PARAGUAY,Activo
CCHIC,Consulado  General  en  Chicago,USA,Estados  Unidos  de  América,Activo
CCOCH,Consulado  en  Cochabamba,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA,Activo
CCOLO,Consulado  en  Colonia,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Activo
CCONC,Consulado  en  Concepción,CHL,REPÚBLICA  DE  CHILE,Activo
CCURI,Consulado  en  Curitiba,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Activo
CENCA,Consulado  General  en  Encarnación,PRY,REPÚBLICA  DEL  PARAGUAY,Activo
CFBEN,Consulado  en  Fray  Bentos,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Activo
CFDIG,Consulado  en  Foz  de  Iguazu,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Activo
CFLOR,Consulado  en  Florianopolis,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Activo
CFRAN,Consulado  General  y  Centro  de  Promoción  en  Francfort,DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,Activo
CGEST,Consulado  General  y  Centro  de  Promoción  en  Estambul,TUR,República  de  Türkiye,Activo
CGMUM,Consulado  General  y  Centro  de  Promoción  en  Mumbai,IND,REPÚBLICA  DE  LA  INDIA,Activo
CGPAZ,Consulado  General  en  La  Paz,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA,Activo
CGTEL,Consulado  General  en  Tel  Aviv,ISR,ESTADO  DE  ISRAEL,Activo
CGUAN,Consulado  General  en  Guangzhou,CHN,REPÚBLICA  POPULAR  DE  CHINA,Activo
CGUAY,Consulado  en  Guayaquil,ECU,REPÚBLICA  DEL  ECUADOR,Activo
CGVAN,Consulado  General  en  Vancouver,CAN,CANADÁ,Activo
CHAMB,Consulado  General  en  Hamburgo,DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,Activo
CHONG,Consulado  General  en  Hong  Kong,CHN,REPÚBLICA  POPULAR  DE  CHINA,Activo
CHOUS,Consulado  General  en  Houston,USA,Estados  Unidos  de  América,Activo
CJOHA,Consulado  General  en  Johannesburgo,ZAF,REPÚBLICA  DE  SUDÁFRICA,Activo
CLANG,Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles,USA,Estados  Unidos  de  América,Activo
CLIMA,Consulado  General  en  Lima,PER,REPÚBLICA  DEL  PERÚ,Activo
