Pais,Codigo,pbi
Monaco,MCO,240862.1824
Luxembourg,LUX,125006.0218
Bermuda,BMU,118774.7907
Norway,NOR,106177.1972
Ireland,IRL,103983.2913
Cayman Islands,CYM,99624.88544
Switzerland,CHE,93259.90572
Qatar,QAT,87661.45015
Singapore,SGP,82807.62906
United States,USA,76329.58227
Iceland,ISL,73466.77867
Denmark,DNK,67790.05399
Faroe Islands,FRO,66979.27732
Australia,AUS,65099.84591
Netherlands,NLD,57025.01246
Cuba,CUB,56495.85349
Sweden,SWE,56373.78858
Israel,ISR,54930.93881
Canada,CAN,54917.66252
United Arab Emirates,ARE,53707.98008
Austria,AUT,52084.6812
Finland,FIN,50916.28047
Belgium,BEL,49926.82543
"Hong Kong SAR, China",HKG,48983.62172
Germany,DEU,48717.99114
New Zealand,NZL,48418.59166
United Kingdom,GBR,46125.25575
Andorra,AND,41992.77278
Kuwait,KWT,41079.5227
France,FRA,40886.25327
Brunei Darussalam,BRN,37152.47697
Sint Maarten (Dutch part),SXM,35873.05649
New Caledonia,NCL,35745.18505
Puerto Rico,PRI,35208.63719
Italy,ITA,34776.42323
Malta,MLT,34127.51056
Japan,JPN,33823.57073
Aruba,ABW,33300.83882
"Korea, Rep.",KOR,32422.57449
Cyprus,CYP,32048.24023
"Bahamas, The",BHS,31458.30081
Saudi Arabia,SAU,30447.88371
Bahrain,BHR,30146.92503
Spain,ESP,29674.54429
Slovenia,SVN,28439.3341
Estonia,EST,28247.09599
Czechia,CZE,27223.04519
Lithuania,LTU,25064.80891
Oman,OMN,25056.79486
Turks and Caicos Islands,TCA,24917.59581
Portugal,PRT,24515.26585
Latvia,LVA,21779.50426
Slovak Republic,SVK,21256.80843
Greece,GRC,20867.26909
Uruguay,URY,20795.04235
Curacao,CUW,20501.75228
St. Kitts and Nevis,KNA,20262.26714
Barbados,BRB,20238.78424
Antigua and Barbuda,ATG,19919.72669
American Samoa,ASM,19673.3901
Trinidad and Tobago,TTO,19629.46534
French Polynesia,PYF,18984.8511
Poland,POL,18688.00449
Croatia,HRV,18570.404
Hungary,HUN,18390.185
Guyana,GUY,18199.47484
Panama,PAN,17357.62863
Romania,ROU,15786.80174
Chile,CHL,15355.47974
Russian Federation,RUS,15270.70605
Bulgaria,BGR,13974.44925
Argentina,ARG,13650.60463
Costa Rica,CRI,13365.3564
Seychelles,SYC,13250.45583
St. Lucia,LCA,13030.92848
China,CHN,12720.21632
Caribbean small states,CSS,12639.70462
Malaysia,MYS,11993.18761
Nauru,NRU,11970.93828
Maldives,MDV,11780.81691
Mexico,MEX,11496.52287
Kazakhstan,KAZ,11492.03194
Turkiye,TUR,10674.50417
Mauritius,MUS,10256.23031
Dominican Republic,DOM,10111.24571
Montenegro,MNE,10093.4387
Grenada,GRD,9689.0827
Serbia,SRB,9537.682867
St. Vincent and the Grenadines,VCT,9125.324771
Brazil,BRA,8917.674911
Gabon,GAB,8820.347337
Turkmenistan,TKM,8792.548504
Dominica,DMA,8351.193213
Belarus,BLR,7888.263711
Azerbaijan,AZE,7762.073829
Botswana,BWA,7738.878804
Bosnia and Herzegovina,BIH,7568.79848
Equatorial Guinea,GNQ,7182.265382
Peru,PER,7125.829931
Armenia,ARM,7018.051504
Belize,BLZ,6984.21696
Thailand,THA,6909.956285
Albania,ALB,6810.114041
South Africa,ZAF,6766.481254
Libya,LBY,6716.095985
Georgia,GEO,6674.95696
Colombia,COL,6624.165393
North Macedonia,MKD,6591.471314
Ecuador,ECU,6391.282484
Marshall Islands,MHL,6225.179222
Paraguay,PRY,6153.055657
Jamaica,JAM,6047.216457
Iraq,IRQ,5937.195466
Suriname,SUR,5858.824661
Moldova,MDA,5714.430488
Guatemala,GTM,5473.208564
Fiji,FJI,5356.164396
Kosovo,XKX,5340.268798
Tuvalu,TUV,5221.532799
El Salvador,SLV,5127.321668
Mongolia,MNG,5045.5047
Namibia,NAM,5031.11503
Indonesia,IDN,4787.999308
"Iran, Islamic Rep.",IRN,4669.57138
Ukraine,UKR,4533.975586
Algeria,DZA,4342.637968
Jordan,JOR,4311.000046
"Egypt, Arab Rep.",EGY,4295.407496
Viet Nam,VNM,4163.514299
Eswatini,SWZ,3986.886637
Cabo Verde,CPV,3754.304794
Tunisia,TUN,3747.419391
Samoa,WSM,3745.560367
"Micronesia, Fed. Sts.",FSM,3713.955362
Bolivia,BOL,3600.121635
Philippines,PHL,3498.509806
Morocco,MAR,3441.991455
Sri Lanka,LKA,3354.383408
Vanuatu,VUT,3231.3513
Djibouti,DJI,3136.112768
Papua New Guinea,PNG,3115.922923
Honduras,HND,3040.173046
Angola,AGO,3000.444231
Bangladesh,BGD,2688.305501
"Congo, Rep.",COG,2649.225022
Cote d'Ivoire,CIV,2486.412194
India,IND,2410.888021
Timor-Leste,TLS,2389.295875
Sao Tome and Principe,STP,2386.696176
Nicaragua,NIC,2255.425995
Uzbekistan,UZB,2255.151155
Solomon Islands,SLB,2205.251805
Ghana,GHA,2203.558935
Nigeria,NGA,2162.633734
Kenya,KEN,2099.301938
Mauritania,MRT,2065.155516
Lao PDR,LAO,2054.430781
Cambodia,KHM,1759.608023
Haiti,HTI,1748.257132
Kiribati,KIR,1701.970665
Zimbabwe,ZWE,1676.821489
Kyrgyz Republic,KGZ,1655.072698
Senegal,SEN,1598.726433
Pakistan,PAK,1588.879829
Cameroon,CMR,1563.48894
Guinea,GIN,1515.167948
Comoros,COM,1484.892465
Zambia,ZMB,1456.90157
Nepal,NPL,1336.546047
Benin,BEN,1302.851036
Tanzania,TZA,1192.766479
Myanmar,MMR,1149.211218
Sudan,SDN,1102.146484
Tajikistan,TJK,1054.189484
Ethiopia,ETH,1027.585911
Lesotho,LSO,969.9357602
Rwanda,RWA,966.2320714
Uganda,UGA,964.3958695
Togo,TGO,942.6499016
Mali,MLI,833.2972551
Burkina Faso,BFA,830.0371503
"Gambia, The",GMB,808.2782815
Guinea-Bissau,GNB,775.8289657
Liberia,LBR,754.5328429
Chad,TCD,716.8043811
"Congo, Dem. Rep.",COD,653.6562231
"Yemen, Rep.",YEM,650.2722184
Malawi,MWI,645.1586921
Somalia,SOM,592.103122
Niger,NER,585.4049292
Mozambique,MOZ,558.2986064
Madagascar,MDG,516.592616
Sierra Leone,SLE,475.7957278
Central African Republic,CAF,427.0580962
Burundi,BDI,259.0250314
